ID:1, TBR, tbrSN: 47 , timestamp: 1686230585.480 , tagProt: 0, tagID:5, tagData:63, SNR:37, tagFreq:69, memAddr:19591
ID:1, TBR, tbrSN: 47 , timestamp: 1686230601.715 , tagProt: 0, tagID:5, tagData:64, SNR:36, tagFreq:69, memAddr:19592
ID:1, TBR, tbrSN: 47 , timestamp: 1686230613.30 , tagProt: 0, tagID:5, tagData:65, SNR:32, tagFreq:69, memAddr:19593
ID:1, TBR, tbrSN: 47 , timestamp: 1686230622.144 , tagProt: 0, tagID:5, tagData:66, SNR:35, tagFreq:69, memAddr:19594
ID:1, TBR, tbrSN: 47 , timestamp: 1686230631.79 , tagProt: 0, tagID:5, tagData:67, SNR:35, tagFreq:69, memAddr:19595
ID:1, TBR, tbrSN: 47 , timestamp: 1686230642.134 , tagProt: 0, tagID:5, tagData:68, SNR:35, tagFreq:69, memAddr:19596
ID:1, TBR, tbrSN: 47 , timestamp: 1686230659.328 , tagProt: 0, tagID:5, tagData:69, SNR:36, tagFreq:69, memAddr:19597
ID:1, TBR, tbrSN: 47 , timestamp: 1686230674.662 , tagProt: 0, tagID:5, tagData:70, SNR:33, tagFreq:69, memAddr:19598
ID:1, TBR, tbrSN: 47 , timestamp: 1686230683.818 , tagProt: 0, tagID:5, tagData:71, SNR:30, tagFreq:69, memAddr:19599
ID:1, TBR, tbrSN: 47 , timestamp: 1686230693.93 , tagProt: 0, tagID:5, tagData:72, SNR:27, tagFreq:69, memAddr:19600
ID:1, TBR, tbrSN: 47 , timestamp: 1686230710.167 , tagProt: 0, tagID:5, tagData:73, SNR:29, tagFreq:69, memAddr:19601
ID:1, TBR, tbrSN: 47 , timestamp: 1686230725.382 , tagProt: 0, tagID:5, tagData:74, SNR:35, tagFreq:69, memAddr:19602
ID:1, TBR, tbrSN: 47 , timestamp: 1686230737.737 , tagProt: 0, tagID:5, tagData:75, SNR:34, tagFreq:69, memAddr:19603
ID:1, TBR, tbrSN: 47 , timestamp: 1686230750.233 , tagProt: 0, tagID:5, tagData:76, SNR:29, tagFreq:69, memAddr:19604
ID:1, TBR, tbrSN: 47 , timestamp: 1686230761.527 , tagProt: 0, tagID:5, tagData:77, SNR:29, tagFreq:69, memAddr:19605
ID:1, TBR, tbrSN: 47 , timestamp: 1686230780.25 , tagProt: 0, tagID:5, tagData:78, SNR:27, tagFreq:69, memAddr:19606
ID:1, TBR, tbrSN: 47 , timestamp: 1686230792.261 , tagProt: 0, tagID:5, tagData:79, SNR:28, tagFreq:69, memAddr:19607
ID:1, TBR, tbrSN: 47 , timestamp: 1686230803.636 , tagProt: 0, tagID:5, tagData:80, SNR:28, tagFreq:69, memAddr:19608
ID:1, TBR, tbrSN: 47 , timestamp: 1686230819.750 , tagProt: 0, tagID:5, tagData:81, SNR:28, tagFreq:69, memAddr:19609
ID:1, TBR, tbrSN: 47 , timestamp: 1686230835.5 , tagProt: 0, tagID:5, tagData:82, SNR:32, tagFreq:69, memAddr:19610
ID:1, TBR, tbrSN: 47 , timestamp: 1686230849.59 , tagProt: 0, tagID:5, tagData:83, SNR:24, tagFreq:69, memAddr:19611
ID:1, TBR, tbrSN: 47 , timestamp: 1686230864.255 , tagProt: 0, tagID:5, tagData:84, SNR:28, tagFreq:69, memAddr:19612
ID:1, TBR, tbrSN: 47 , timestamp: 1686230873.591 , tagProt: 0, tagID:5, tagData:85, SNR:26, tagFreq:69, memAddr:19613
ID:1, TBR, tbrSN: 47 , timestamp: 1686230889.724 , tagProt: 0, tagID:5, tagData:86, SNR:29, tagFreq:69, memAddr:19614
